clearing_house,contract_code,contract_name,contract_type,source_url
CME,TD3C,TD3C (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD7,TD7 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD8,TD8 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD20,TD20 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD3C,Mini Freight Route TD3C (Baltic) Daily Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD20,Mini Freight Route TD20 (Baltic) Daily Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,TD3C,TD3C (Baltic) Average Price Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,BLNG1g,LNG Freight Route BLNG1g (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,BLNG2g,LNG Freight Route BLNG2g (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,BLNG3g,LNG Freight Route BLNG3g (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,LPG1,LPG Freight Route LPG1 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,LPG1,LPG Freight Route LPG1 (Baltic) BALMO Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,LPG1,LPG Freight Route LPG1 Average Price Option,OPTION,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
CME,LPG3,LPG Freight Route LPG3 (Baltic) Futures,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,C3,Baltic Capesize C3 Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,C5,Baltic Capesize C5 Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,C7,Baltic Capesize C7 Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,5TC,Baltic Capesize 5TC (182) Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,5TC,Baltic Capesize 5TC (180) Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,P1E,Baltic Panamax TA P1E Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,P2E,Baltic Panamax Far East P2E Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,P3E,Baltic Panamax Pacific P3E Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,P6,Baltic Panamax P6 Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,5TC,Baltic Panamax 5TC Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
EEX,11TC,Baltic Supramax 11TC Freight Future,FUTURE,https://www.balticexchange.com/en/data-services/freight-derivatives-/Clearing.html
