index_code,component_code,component_type,mode,weight,scale_factor,source_url
BSI,S8_63,ROUTE,WEIGHTED_SUM,0.1,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S9_63,ROUTE,WEIGHTED_SUM,0.075,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S10_63,ROUTE,WEIGHTED_SUM,0.1,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BSI,S15_63,ROUTE,WEIGHTED_SUM,0.1,0.079112625,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS1_38,ROUTE,COEFFICIENT_SUM,0.006944444,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS2_38,ROUTE,COEFFICIENT_SUM,0.006944444,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS3_38,ROUTE,COEFFICIENT_SUM,0.006944444,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS4_38,ROUTE,COEFFICIENT_SUM,0.006944444,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS5_38,ROUTE,COEFFICIENT_SUM,0.011111111,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS6_38,ROUTE,COEFFICIENT_SUM,0.011111111,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BHSI,HS7_38,ROUTE,COEFFICIENT_SUM,0.005555556,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCTI,TC1,ROUTE,AVERAGE,0.16666666666666666,4.54072288,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCTI,TC2_37,ROUTE,AVERAGE,0.16666666666666666,4.54072288,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCTI,TC5,ROUTE,AVERAGE,0.16666666666666666,4.54072288,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCTI,TC6,ROUTE,AVERAGE,0.16666666666666666,4.54072288,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCTI,TC9,ROUTE,AVERAGE,0.16666666666666666,4.54072288,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BCTI,TC16,ROUTE,AVERAGE,0.16666666666666666,4.54072288,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD2,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD3C,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD6,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD7,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD8,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD9,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD14,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD15,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD18,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD19,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BDTI,TD20,ROUTE,WEIGHTED_SUM,0.09090909090909091,8.415737054,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BLPG,BLPG1,ROUTE,AVERAGE,0.3333333333333333,0.1,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BLPG,BLPG2,ROUTE,AVERAGE,0.3333333333333333,0.1,https://www.balticexchange.com/en/data-services/market-information0/indices.html
BLPG,BLPG3,ROUTE,AVERAGE,0.3333333333333333,0.1,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX01,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX02,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX03,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX04,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX11,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX12,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX13,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
FBX00,FBX14,ROUTE,WEIGHTED_AVG_UNSPECIFIED,,,https://www.balticexchange.com/en/data-services/market-information0/indices.html
